Amity Business School ,,,,,,
170,A Comparative Analysis Between Cryptocurrency vs Traditional Stock Markets: Exploring the risks,"Harsh Gawadr, Dr. Jyoti Sah, ","International Journal of Research Publication and ReviewsVol (6), Issue (4), April (2025), Page – 15721-15726 ISSN 2582-7421",2025,2582-7421,International
171,Study on the Evolution of Apple's Business Strategy: How it became a global leader,"Moinulhaq Dhila, Dr. Jyoti Sah","International Journal of Research Publications and Reviews, Vol 6. Issue 4 pg 15711-157162582-7421",2025,2582-7421,International
172,An analysis of the determinants of exchange rate and their impact on international trade ,"Preet Mundada, Dr Jyoti Sah,","International Journal of Research Publication and Reviews, Volume 10 Issue 5, May-2025ISSN: 2455-2631",2025,2582-7421,International
173,The Impact of Digital Credit Risk Assessment on Modern UPI Vs Traditional Lending and Payment System In India,"Rutuja Vishnu Kashid, Dr. Jyoti Sah","International Journal of Research Publications and ReviewsVol (6), Issue (4), April (2025)ISSN 2582-7421",2025,2582-7421,International
174,A Study on Housing Finance Accessibility for LIG in Urban Areas,"Sanidhi Kirte, Dr. Jyoti Sah",International Journal of Research Publications and ReviewsVol 6. Issue 4 pg 836-8432582-7421,2025,2582-7421,International
175,Influence of Celebrity Endorsement on Consumer Purchase Behaviour: An Exploratory Analysis,"Armaan Hussain, Mr. Amol Bhalerao, ",International Journal of Research Publications and ReviewsVol 6 Issue 42582-7421,2025,2582-7421,International
176,Financial Impact of EV Transition on Bhubaneshwar's Auto and Fuel Sector,"Mr.Akshat Swami, Dr Jyoti",International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
177,Analysing User Trust and Cybersecurity Challenges in India's Cryptocurrency Ecosystem,"Arpit Anand, Dr. M.S. Suganthiya","International Journal of Research Publications and ReviewsVol 6, Issue 5, pp 2782-2790 2582-7421",2025,2582-7421,International
178,A Study on the Impact of Macroeconomic Factors on Exchange Rate with Reference to Indian Economy,"Namithkumar Nair, Dr. M. S. Suganthiya",International Journal of Research Publications and Reviewsvol 6 issue 42582-7421,2025,2582-7421,International
179,A Study on Customer's Perceptions on Digital Payments Systems of SBI,"Sabad Singh, Dr. M. S. Suganthiya",International Journal of Research Publications and Reviewsvol 6 issue 42582-7421,2025,2582-7421,International
180,The Strategic Role of Athlete Endorsements in Augmenting Financial Growth in the Indian Athletic Retail Sector,"Swapnil Sinha, Dr. M. S. Suganthiya",International Journal of Research Publications and ReviewsVol 13 issue 42320-2882,2025,2582-7421,International
181,The Financial Fallout of Influencer Culture: How Social Media Investment  Trends And Market Manipulation,"Samriddhi Mishra, Dr. M. S. Suganthiya, ",Journal of Engineering and Technology ManagementVol 761879-1719,2025,2582-7421,International
182,A Study on the Financial Risk Management in Banking Sector,"Sharvari Ardekar, Dr. M. S. Suganthiya",International Journal of Research Publications and Reviewsvol 6 issue 42582-7421,2025,2582-7421,International
183,Study of Various Reason of Increasing Home Loan Defaulter,"Khushbu Gaikar, Dr. Vishal Chavan, ","Internationa Journal of Research Publication and Reviews2582-7421, VOLUME 6, Issue 42582-7421",2025,2582-7421,International
184,"The Impact Of Digital Bnaking on Financial Institution, A study Of Emerging Market (Silchar Region)","Anurag Dhar, Dr. Vishal Chavan, ","Internationa Journal of Research Publication and ReviewsVOLUME (6),ISSUE (4), PAGE 16504-165122582-7421",2025,2582-7421,International
185,the study of consumer behaviour for personal loan,"Ms Nupur Shriram Jadhav , Dr.Vishal Chavan",International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
186,A STUDY ON DATA DRIVEN DECISION MAKING IN LOGISTICS,"Danish Shaikh, Dr. Vishal Chavan",Internationa Journal of Research Publication and Reviews2582-74212582-7421,2025,2582-7421,International
187,The Influence of Financial Literacy on Investment Choices: A Study Among College Students and Young Professional,"Shrawani Jumnani, Dr. Vishal Chavan, ",Internationa Journal of Research Publication and Reviews ISSN 2582-7421 131045-1 ISSN 2582-7421 131045-1,2025,2582-7421,International
188,Determinants that influence a person's decision to buy a property in the UAE,"Ameena Munshi, Dr. Vishal Chavan, ",Internationa Journal of Research Publication and Reviews ISSN 2582-7421 131091-1ISSN 2582-7421 131091-1,2025,2582-7421,International
189,Awareness of Mutual Funds among Working professionals (Conducted in Mumbai Region),"Anushree Manoj Paloli, Dr. Vishal Chavan ","International Journal of Research Publication and ReviewsVol (6), Issue (4), April (2025), Page – 15721-15726 ISSN 2582-7421",2025,2582-7421,International
190,Analysing the Impact of Different Sectors of the Indian Stock Market on Economic Growth From 2022-2024,"Rahul Dasauni, Dr. Jyoti Sah",International Journal of Advance Studies and Growth Evaluationvol 6 issue 42583-6530,2025,2583-6530,International
191,The Transformative Tide: Assessing the Impact of GST on Small Business in India,"Hijas , Dr. M. S. Suganthiya","International Journal of Science, Architecture, Technology, and EnvironmentVolume 02, Issue 05, May 20253048-8222",2025,3048-8222,International
192,A Study on the Artificial Intelligence Powered ChatBots on Customer Satisfaction and  Engagement in Digital Banking,"Aditi Rawat, Dr. M. S. Suganthiya",International Journal of Research Publications and Reviewsvol 6 issue 42582-7421,2025,2582-7421,International
193,The role of financial Statement analysis while predicting business failure with reference to R Com,Ms Rose Mary Poly Thandassery,"International Journal of Science, Architecture, Technology, and EnvironmentVolume 2 Issue 5ISSN: 3048-8222",2025,3048-8222,International
194,Prestige Pricing and Marketing: Decoding Consumer Behaviour in the Luxury Fragrance Industry,"Vishakha Dubey, Mr. Amol Bhalerao, ",International Journal of Research Publications and ReviewsVol 6 Issue 42582-7421,2025,2582-7421,International
195,A study on the AI powered Chat bots on consumer satisfaction and engagement in Digital banking,Ms Aditi Rawat ,International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
196,Influence of Branding on Customer Purchasing Decision,Mr. Rahul Suresh,International Journal of Research Publication and ReviewsVolume 6 Issue 5ISSN: 2582-7421,2025,2582-7421,International
197,"GST Compliance in the FMCG Sector: A Comparative Study of HUL, Zydus Well Ness and Venky's India",Ms Bhavana Vijay,"International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
198,The Impact of UPI on Consumer Spending habits and Impulse Purchases in Urban India,"Nemaluri Praneet, Dr. Jyoti Sah",International Journal of Research Publications and ReviewsVol 6. Issue 4 pg 15797-157992582-7421,2025,2582-7421,International
199,A Study on Impact of Corporate Downsizing on Employee Motivation and Morale,"Zubiya Khan, Dr Reshma Nair","International Journal of Research Publication and ReviewsVol (6),  Page – 8025-8033ISSN 2582-7421",2025,2582-7421,International
200,Impact of Digitalization on Advertising and Marketing Strategies in India’,"Rohan Pawar, Dr. Neha Choudhary, ","International Journal of Research Publications and ReviewsVol 06,  Issue 42582-7421",2025,2582-7421,International
201,“Flipkart Vs Amazon in India: How Flipkart Pulled Ahead” ,"Kunal Dhankhar, Dr. Bhojraj Shewale","International Journal of Research Publications and ReviewsVolume-06, Issue-05,  pp 5756-5764ISSN 2582-7421",2025,2582-7421,International
202,A study on Employment Branding and its influence on Job Seekers employment choices,"Dhwani Rambhia, Dr Reshma Nair",International Research Journal of Engineering and Technology (IRJET) Volume:12 Issue 042395-0056,2025,2395-0056,International
203,Analysis of Investment Landscape for Renewable Energy Sector in India,"Aniket Shelke, Dr Neha Choudhary","International Journal of Research Publications and ReviewsVol 6, Issue 42582-7421",2025,2582-7421,International
204,Price vs. Brand: Analyzing key Drivers of Consumers Decision-Making in the Perfume Market- A study of Mumbai market,"Akshay Sharma, Mr Amol Bhalerao","International Journal of Research Publications and ReviewsVol 6, Issue 52582-7421",2025,2582-7421,International
205,Impact of AI on Online Fashion and Apparel Shopping Among Young Consumers,"Shardul Khare, Sushmita Dutta, Mr. Linu George","International Journal of Research Publications and ReviewsVol 6, Issue 52582-7421",2025,2582-7421,International
206,Influence of social media on brand loyalty among millennials,"Moses Joy, Mr. Linu George",International Journal of Research Publications and ReviewsVol 6 Issue 52582-7421,2025,2582-7421,International
207,Human Rights Violations in Global Supply Chains: Case Studies of Labour Exploitation and Corporate Accountability,"Arshad Bhat, Vallabh Verma,  Anushka Kothekar","Research Portal Central, Proceedings of the International Academy of Sciences, ISSN:3066-6740",2025,3066-6740,International
208,An In depth Analysis of Starbucks' Customer Attraction Strategies,"Dr. Bhojraj Shewale, Shweta Sharma, Gyanendra Tomar, Mohammad Sadaf Ali, Muskan Yadav, Durwa Jadhav, Rajat Rathod","Aportes Journal, ISSN: 0213-5868",2025,0213-5868,International
209,Empirical Analysis of Customer Satisfaction of Airport Check-In Based on Self-service Technology,Vinayak Sohoni & Dr.Bhawna Sharma Padroo,Urban India,2024,0970-9045,National
210,Study of Technology Based Self-Service Attributes and its impact on Customer Satisfaction,Vinayak Sohoni & Dr.Bhawna Sharma Padroo,Educational Administration: Theory and Practice (e-issn:2148-2403;),2024,2148-2403,International
211,Literature review on identifying the factors influencing shift from prescription to Over the Counter Medicines (OTC) and its impact on Indian healthcare industry,"Rahul Lad, Dr.Bhawna Sharma Padroo","International Journal of Scientific and Research Publications, (ISSN: 2250-3153)",2024,2250-3153,International
212,Advancements and Challenges in Digital Health Implementation in India: A Comprehensive Literature Review,"Rahul Lad, Dr.Bhawna Sharma Padroo",World Journal of Biology Pharmacy and Health Sciences (WJBPHS)(ISSN:2582-5542),2024,2582-5542,International
213,The Digital Health Quotient of India: A Comprehensive Analysis,Rahul Lad & Dr.Bhawna Sharma Padroo,IDEAL (ISSN: 2319 - 359X),2024,ISSN: 2319 - 359X,National
214,Navigating Patient Choice in Pune's Private HealthCare : Insights from HealthCare Professional and Administrators ,"Rakesh Pathak, Dr.Bhawna Sharma Padroo",JOURNAL OF MANAGEMENT AND ENTREPRENEURSH (ISSN:2229-5348),2024,2229-5348,International
215,Investigating the impact of Behavioural Biases and Financial Literacy in Financial Decision Making among Working Women in Mumbai,"Dipti Perival, Dr.Reshma Nair",Educational Administration: Theory and Practice (e-ISSN:2148-2403; p-ISSN: 1300-4832) ,2024,1300-4832,International
216,Impact of Learning and Development on Employee Performance and Retention in Telecom and IT Industries ,"Abhinav Tiwari, Dr. Satuluri Padma",International Journal of Advance and Applied Research (ISSN:,2024,2347-7075,International
217,Impact of E-HRM Practices in the Working Environment of Banking Sector; An Employee Centered Analysis ,"Mukesh Mihir, Dr. Satuluri Padma",Educational Administration: Theory and Practice (e-ISSN:2148-2403;p-ISSN: 1300-4832) ,2024, (e-ISSN:2148-2403;p-ISSN: 1300-4832) ,International
218,Organizational Behavior in the Global Competitive Landscape: The role of Leadership Styles in reducing attrition,"Mukesh Mihir, Dr. Satuluri Padma",Tec Empresarial (ISSN:1659-3359),2024,1659-3359,International
219,The Study of Artificial Marketing tools used in Indian Cosmetic Industry and its impact on Consumer Behaviour,Dr. Satuluri Padma,Journal of Informatics Education and Research (ISSN:1526-4726),2024,1526-4726,International
220,Holistic approach of Talent Management for a successful Succession Planning”,"Mukesh Mihir, Dr. Satuluri Padma",Journal of Informatics Education and Research (ISSN:1526-4726),2024,1526-4726,International
221,"Maximizing Impact: Unleashing Employee Performance through Transformational Leadership, Organizational Commitment, and Work Engagement","Sathyanarayana S., Neha Inamdar, Dr. Sreeja, Dr. Rachna Jain, Dr. Shikha Sharma, Dr. Satuluri Padma",Journal of Informatics Education and Research (ISSN:1526-4726),2024,1526-4726,International
222,The Impact Of Job Attrition And Understanding The Factors Affecting Attrition And Intention: A Theoretical Framework,"Tanmaya Mishra, Dr. Madhavi Latha, Dr. Priyanka Malhotra, Mr. Sathya, Dr. Gomathi, Dr. Satuluri Padma","Migration Letters (ISSN:1741-8984 E-ISSN:1741- 8992),",2024, (ISSN:1741-8984 E-ISSN:1741- 8992),International
223,"Inflationary Realities, Shrinkflation Strategies: Business Unveiled”,",Dr. Satuluri Padma,European Economic Letters (ISSN: 2323-5233),2024,2323-5233,International
224,A Study of Literature review on Financial Literacy,"Indrayani Uthale, Dr.Jaymin Shah",International Journal of All research Education and Scientific Methods (ISSN: 2455-6211),2024,2455-6211,International
225,Determinants Shaping Customer Choices In The Selection Of Packaged Drinking Water: A Pilot Study From Raigad District,"Sumit Mukadam, Dr.Bhawna Sharma",The Seybold Report,2024,1533-9211,International
226,Patient Satisfaction and Perceived Quality Of Services In Private Hospitals In Pune City: A Comprehensive Survey Analysis,Dr.Bhawna Sharma and Rakesh Pathak,Educational Administration: Theory and Practice,2024,2148-2403,International
227,Impact Of Performance Management On Succession Planning,"Mukesh Mihir, Dr. Satuluri Padma",Accountancy Business and the Public Interest ,2024,1745-7718,International
228,Succession Planning for Organizational Sustainability ,"Mukesh Mihir, Dr. Satuluri Padma",African Journal of Biological Sciences,2024,2663-2187,International
229,Embracing Fintech: Revolutionizing Modern Banking Operations ,Dr. Jyoti Sah and Dr. Satuluri Padma,Anvesak: Sardar Patel Institute of Economic and Social Research,2024,0378 – 4568,National
230,Cooperative Banking for Rural Prosperity- A Literature Review,"Dr. Reshma Nair, Pankaj Kumar",Anvesak: Sardar Patel Institute of Economic and Social Research,2024,0378 – 4568,National
231,Examining The Elements Affecting Hotel Employee Retention: Methods To Boost Workforce Stability And Satisfaction ,"Shirish Bokde, Dr. Satuluri Padma",Forum for Linguistic Studies- Academic Publishing Pvt Ltd,2024,2705-0610,International
232,Evolving Marketing Strategies: E-Commerce And Digital Integration For Aquatic Product Distribution In India,"Dr.Agnihotri, Dr Nitin Sharma, Mr. Jagdeep Singh, Dr. Anand Bethapudi, Dr. Saxena, Dr Sameer Kulkarni",Forum for Linguistic Studies- Academic Publishing Pvt Ltd,2024,2705-0610,International
233,Work Life Balance and Employee Well Being in the Hotel Industry,"Shipra Agarwal, Dr. Satuluri Padma",Anvesak: Sardar Patel Institute of Economic and Social Research,2024,0378 – 4568,National
234,Remote Work and Flexibility,"Riya Kulkarni, Dr. Satuluri Padma",Anvesak: Sardar Patel Institute of Economic and Social Research,2024,0378 – 4568,National
235,Work Culture with Morality in Contemporary World- Lessons From Bhagwan Ram,"Shipra Agarwal, Dr. Satuluri Padma",International Journal of Emerging Knowledge Studies - IJEKS Publishing,2024,2583-7354,International
236,Adverse Impact of Climate Change on Coffee Business in Vietnam,"Subhendu Bhattacharya, Dr. Reshma Nair","International Journal of Research in Engineering, Science and Management (IJRESM)",2024,2581-5792,International
237,A Study on Training In Chemical Disaster Management For Government Employees In India,"Dr. Bhawna Sharma, Ganesh Zine",ShodhKosh: Journal of Visual and Performing Arts,2024,2582-7472,National
238,Impact of Sustainability Practices on Various Stages of Chemical Disaster Preparedness and Management in the Mumbai Region,"Dr. Bhawna Sharma, Ganesh Zine",INTERNATIONAL JOURNAL OF ADVANCE AND APPLIED RESEARCH,2024,2347-7075,International
239,Unveiling Patterns Using Enhanced Educational Data Mining for forecasting Student Academic Performance,"Prakash Kharade, Dr. Alam, Dr. Satuluri Padma, Meenakshi, Dr Naved",Institute of Electrical and Electronics Engineers (IEEE),2024,"ISBN:979-8-3503-8944-9
Print ISBN:979-8-3503-8943-2",International
240,SME Loans and Ease Of Underwriting Methodology – A Study With Comparison Before And After Covid-19 On Demand Of SME Loan Method Of Underwriting By Different Bank In Mumbai Maharashtra,"Saket Suman, Dr. Neha Choudhary",Humanities and Social Science Studies,2024, 2319-829X,National
241,Reconciliation and Settlement in the Anti-Privatization Strike: A Case Study of the Power Supply Sector in Maharashtra,"Dr. Sujoy Sen, Dr. Sanjeev Kadam, Dr. Reshma Nair ","Emerald Publishers, International Journal of Law and Management (IJLM)",2024,1754-243X ,International
242,Effects of Mergers and Acquisitions (M&A) on the Profitability of Indian Banking Sector,"Dr.Vaishali, Dr. Arshi Ali",Emerald Publishing,2024,2352-5428,International
243,A Study on the Potentials and Implementation of Block Chain in retail market,"Dr. Jyoti Sah, Dr. Satuluri Padma",International Journal of Creative Research Thoughts,2024,2320-2882,International
244,"Study of Impact of various Indian Scriptures on Quality of Life of Residents in Panvel, Navi Mumbai","Dr. Vishal Chavan, Dr. Sanjit Singh & Dr. Prachi Jain",Sanshodhak,2024,2394-5990,International
245,Mahaviracharya's Mathematical Legacy in Indian Knowledge System,"Dr. Vishal Chavan, Dr Prachi Jain",Sanshodhak,2024,2394-5990,International
246,Study of Synthesis of Indian Knowedge System towards Contemporary Management & Leadership Practices,"Dr. Sanjit Singh, Dr. Vishal Chavan & Dr. Prachi Jain",Sanshodhak,2024,2394-5990,International
247,AI- Driven Education: Empowering the Next Generation of Learners,Dr. Bhojraj Shewale,"Journal of Engineering and Technology Management, 1879-1719",2024,1879-1719,National
248,Exploratory Study on ESG Past & Recent Developments & Impact on Stakeholders,"Dr. Vishal Chavan, Prof. Linu George, Prof. Amol Bhalerao",Rabindra Bharati University Journal of Economics,2024,0975-802X,National
249,Talent Development for Organizational Sustainability,Dr. Satuluri Padma and Mukesh Mihir,AIMS International Journal of Management,2024,978-1-943295-22-7,International
250,"Pilot Study on Diversification & Digital strategy deployed by Payments Bank in India -Adoption trend","Dr. Bhawna Sharma and Pawan Kumar",Sanshodhak,2024,2394-5990,National
251,Understanding Enrolment Drivers and Barriers In Financial Markets Education: A Focus On Tier 2 And Tier 3 Indian Cities,"Dr. Bhawna Sharna, Dr. Sameer Kulkarni, Pradeep Chowdhary",KeAI International Journal of Innovation Studies,2024,2096-2487,International
252,Exploring The Impact Of Event Marketing On Student’s Enrolment Decision-Making In Higher Education,"Dr. Sameer Kulkarni, Pradeep",KeAI International Journal of Innovation Studies,2024,2096-2487,International
253,Does Financial Literacy Play A Role- An Investigation Of Financial Behaviour Of Working Women In Mumbai,"Dr. Reshma Nair, Dr. Sameer Kulkarni, Dipti Periwal",KeAI International Journal of Innovation Studies,2024,2096-2487,International
254,Study On Digital & Diversification Initiatives By Payments Bank In India –Adoption & Findings,"Dr. Bhawna Sharma, Dr Sameer Kulkarni, Pawan Kumar",KeAI International Journal of Innovation Studies,2024,2096-2487,International
255,"Employee Engagement, Satisfaction and Retention through Employee Training and Development","Dr. Reshma Nair, Abhinava Tiwari",KeAI International Journal of Innovation Studies,2024,2096-2487,International
256,Technology Based Self-Service Check-In Customer Satisfaction And Situation Facets At Airport,"Dr. Bhawna Sharma & Vinayak Sohani, Sameer Kulkarni",KeAI International Journal of Innovation Studies,2024,2096-2487,International
257,Investigating Mediating Role Of Financial Literacy Between Behavioral Finance and Investment Decision Making Among Working Women in Mumbai,"Dr. Reshma Nair, Dipti Perival",KeAI International Journal of Innovation Studies,2024,2096-2487,International
258,Challenges Faced By Consumers In Purchasing Packaged Drinking Water: An Exploratory Study,"Dr. Bhawna Sharma, Sumit Mukadam",KeAI International Journal of Innovation Studies,2024,2096-2487,International
259,An Empirical Evaluation Of Service Quality And Patient Satisfaction At Private Hospitals In Pune,"Dr. Bhawna Sharma, Rakesh Pathak",KeAI International Journal of Innovation Studies,2024,2096-2487,International
260,"Employees Well-Being – A Study With Comparison Before And After Effect Of Covid-19 In Organization, Navi Mumbai, Maharashtra (ISSN : 0378 – 4568)","Dr. Neha Choudhary, Komal Zodage",ANVESAK- UGC Care Group Journal,2024,0378 – 4568,National
